X;Y;X_fit_1;X_fit_2
[256, 2, 1, 2];0.0030741730050068395;[-3.367157662160038];[-3.367157662159999, -1.8761756402007737]
[2, 16, 2, 1];0.250078566424627;[0.040453040250536226];[0.04045304025053561, 0.11465539418997651]
[2, 32, 1, 2];0.30869358406208525;[0.03638008186080776];[0.03638008186080182, 0.3507950218726192]
[8, 16, 64, 1];0.19283172106006846;[0.4688196281045693];[0.4688196281045749, -0.21896996411325176]
[256, 1, 4, 3];0.003075153647545015;[-3.342806970043237];[-3.342806970043197, -1.9047344868163067]
[16, 16, 2, 0];0.3716098928577558;[-0.14671670949378693];[-0.14671670949378332, 0.01582766087261032]
[64, 4, 1, 3];0.002952080399731308;[-0.7997419895653612];[-0.7997419895653535, -0.49189365467493684]
[2, 2, 128, 3];0.015906104670268657;[1.0704095745717954];[1.070409574571805, -0.6797931632347126]
[4, 256, 2, 4];0.2000612422193435;[0.07566420813505974];[0.07566420813500556, 3.5721628645258217]
[64, 1, 8, 1];0.02281323114669013;[-0.743095790469388];[-0.7430957904693752, -0.5681743682166154]
[16, 4, 16, 1];0.0996286535802908;[-0.03497305389089369];[-0.03497305389088857, -0.22352440915955002]
[16, 32, 1, 5];0.025746988305343936;[-0.1507896678835119];[-0.15078966788352152, 0.2519672885552624]
[4, 64, 4, 1];0.8525845757563569;[0.0425103225396616];[0.042510322539651896, 0.7854664638587979]
[32, 64, 4, 1];0.18843807791891976;[-0.3318291769489829];[-0.3318291769489882, 0.5878109972240699]
[8, 1, 128, 1];0.009840088331106335;[0.9899358437736703];[0.9899358437736847, -0.7366130132431522]
[32, 2, 4, 0];0.03474529951128721;[-0.3478328503692399];[-0.34783285036923073, -0.30902564658035514]
[32, 4, 4, 1];0.09625715374162881;[-0.3473166028395533];[-0.3473166028395466, -0.28009543226408085]
[8, 16, 8, 3];0.04081922649971031;[0.00945506498054547];[0.009455064980542268, 0.04411317242488293]
[2, 4, 32, 0];0.04881147558006881;[0.2834437138888635];[0.28344371388886985, -0.19986328628165423]
[32, 1, 16, 4];0.0237597907057406;[-0.24965571060750216];[-0.24965571060749983, -0.3798657115680806]
[8, 2, 128, 1];0.01974166555441929;[0.9901939675385129];[0.9901939675385273, -0.7221479060850162]
[4, 4, 128, 4];0.12354084198881392;[1.0441872864237218];[1.0441872864237292, -0.664981196535205]
[1, 16, 128, 4];0.1296555656798556;[1.0873925751184763];[1.087392575118481, -0.4702225392124252]
[2, 16, 512, 4];0.12460481189194743;[4.223951740130057];[4.223951740130095, -2.281280313567985]
[32, 1, 2, 5];0.01982333922748048;[-0.36449685138850774];[-0.3644968513885086, -0.31409492743354595]
[4, 1, 1, 0];0.030977842285406437;[0.0016397094729176864];[0.0016397094729221657, -0.11174154764636335]
[1, 2, 1, 0];0.015785903497142827;[0.04200563675440102];[0.042005636754404954, -0.0760990690630779]
[128, 1, 1, 5];0.003074045576497518;[-1.6561495025482185];[-1.6561495025482038, -0.9870728998858603]
[1, 4, 32, 5];0.03257127266842476;[0.2968129817277481];[0.2968129817277443, -0.1928041624732589]
[1, 64, 32, 4];0.31970326076677463;[0.31230040761831745];[0.3123004076183037, 0.6751022670148895]
[4, 1, 64, 2];0.012344293440276212;[0.5184248429874481];[0.5184248429874543, -0.4077100762517546]
[4, 64, 64, 1];0.23787610433165782;[0.5346866401725459];[0.5346866401725416, 0.5035916747108017]
[2, 16, 1, 4];0.2504264732411761;[0.0322501016233241];[0.03225010162331738, 0.11935330734245041]
[8, 128, 2, 1];0.3860536270520691;[-0.010852705120346888];[-0.010852705120369061, 1.6923926530508933]
[2, 8, 1, 3];0.12635223087102918;[0.030185111504580534];[0.03018511150457732, 0.00363245007736112]
[4, 128, 1, 2];0.021265390902615335;[0.03442142760795998];[0.03442142760793527, 1.7253270614368945]
[1, 32, 64, 1];0.25176274179734187;[0.5665344832142157];[0.5665344832142172, 0.061885617075603916]
[2, 8, 32, 3];0.09512274334490385;[0.28447620894823755];[0.2844762089482371, -0.14200285764910364]
[2, 32, 32, 1];0.475721394546183;[0.29067117930446384];[0.2906711793044627, 0.2051597141461521]
[64, 4, 16, 4];0.014546163293992064;[-0.676697910157139];[-0.6766979101571321, -0.5623623519619336]
[16, 64, 4, 1];0.22433165745948058;[-0.11792089152690034];[-0.11792089152690823, 0.7007569781582003]
[8, 4, 2, 0];0.1591099220472753;[-0.042860051960859666];[-0.04286005196085508, -0.10128063455795477]
[8, 32, 1, 0];0.3441595856254458;[-0.043835525172474944];[-0.04383552517247587, 0.3084402790223154]
[1, 2, 512, 1];0.016327777702003544;[4.233707275261135];[4.233707275261183, -2.47673268997351]
[4, 32, 1, 5];0.4302540487717861;[0.009641546183050046];[0.009641546183038512, 0.3366767742558602]
[16, 4, 2, 1];0.1803599975457065;[-0.14981419467190007];[-0.14981419467189622, -0.1577536250250176]
[256, 8, 2, 1];0.04883556252519472;[-3.3574059809437675];[-3.3574059809437258, -1.7940829104044271]
[8, 64, 1, 4];0.6670256273750222;[-0.03557556469750068];[-0.03557556469751599, 0.7713237080826725]
[8, 1, 2, 2];0.03876118648988586;[-0.04363442325538644];[-0.04363442325538517, -0.14467595603235756]
